task_suite,prompt_condition,prompt_text,task_id,task_description,episode_id,success,step,queries,unnorm_key,attack_mode,video_path,error
libero_spatial,task,pick up the black bowl between the plate and the ramekin and place it on the plate,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,True,76,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task00_ep00_task_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,task,pick up the black bowl between the plate and the ramekin and place it on the plate,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1,True,75,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task00_ep01_task_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,task,pick up the black bowl between the plate and the ramekin and place it on the plate,0,pick up the black bowl between the plate and the ramekin and place it on the plate,2,True,79,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task00_ep02_task_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,task,pick up the black bowl between the plate and the ramekin and place it on the plate,0,pick up the black bowl between the plate and the ramekin and place it on the plate,3,True,77,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task00_ep03_task_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,task,pick up the black bowl between the plate and the ramekin and place it on the plate,0,pick up the black bowl between the plate and the ramekin and place it on the plate,4,True,70,9,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task00_ep04_task_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,task,pick up the black bowl between the plate and the ramekin and place it on the plate,0,pick up the black bowl between the plate and the ramekin and place it on the plate,5,True,75,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task00_ep05_task_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,task,pick up the black bowl between the plate and the ramekin and place it on the plate,0,pick up the black bowl between the plate and the ramekin and place it on the plate,6,True,74,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task00_ep06_task_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,task,pick up the black bowl between the plate and the ramekin and place it on the plate,0,pick up the black bowl between the plate and the ramekin and place it on the plate,7,True,77,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task00_ep07_task_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,task,pick up the black bowl between the plate and the ramekin and place it on the plate,0,pick up the black bowl between the plate and the ramekin and place it on the plate,8,True,80,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task00_ep08_task_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,task,pick up the black bowl between the plate and the ramekin and place it on the plate,0,pick up the black bowl between the plate and the ramekin and place it on the plate,9,True,74,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/task/videos/libero_spatial_task00_ep09_task_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,empty,,0,pick up the black bowl between the plate and the ramekin and place it on the plate,0,True,81,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task00_ep00_empty_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,empty,,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1,False,220,28,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task00_ep01_empty_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,empty,,0,pick up the black bowl between the plate and the ramekin and place it on the plate,2,True,124,16,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task00_ep02_empty_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,empty,,0,pick up the black bowl between the plate and the ramekin and place it on the plate,3,True,79,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task00_ep03_empty_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,empty,,0,pick up the black bowl between the plate and the ramekin and place it on the plate,4,True,78,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task00_ep04_empty_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,empty,,0,pick up the black bowl between the plate and the ramekin and place it on the plate,5,True,81,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task00_ep05_empty_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,empty,,0,pick up the black bowl between the plate and the ramekin and place it on the plate,6,True,80,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task00_ep06_empty_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,empty,,0,pick up the black bowl between the plate and the ramekin and place it on the plate,7,True,84,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task00_ep07_empty_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,empty,,0,pick up the black bowl between the plate and the ramekin and place it on the plate,8,True,82,11,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task00_ep08_empty_pick_up_the_black_bowl_between_the_plate.mp4,
libero_spatial,empty,,0,pick up the black bowl between the plate and the ramekin and place it on the plate,9,True,79,10,libero_spatial_no_noops,none,results/combined_prompt_sweep_900_rerun2/libero_spatial/empty/videos/libero_spatial_task00_ep09_empty_pick_up_the_black_bowl_between_the_plate.mp4,
